Complaint,Department
Drinking water cooler not working in First Floor.,Hostel
Fan is not working in Block A.,Electrical
Microcontroller kit not working in Second Floor.,ECE
Hall ticket not generated in Room 101.,Others
Fee payment portal not working in Block A.,Others
Scholarship not received in First Floor.,Others
Arduino board not detected in Second Floor.,ECE
Door lock is broken in First Floor.,Maintenance
Breadboard is damaged in Lab 2.,ECE
Breadboard is damaged in First Floor.,ECE
Water leaking from ceiling in Room 204.,Maintenance
Digital trainer board failed in Lab 1.,ECE
Staircase is dusty in Block A.,Cleaning
Hostel WiFi not working in Block B.,Hostel
Hostel WiFi not working in Room 101.,Hostel
Water leaking from ceiling in Room 204.,Maintenance
ID card not issued in Lab 2.,Others
Water leaking from ceiling in Block B.,Maintenance
Library computer not working in Lab 2.,Library
Insufficient seating in library in Lab 2.,Library
Function generator faulty in Lab 2.,ECE
Insufficient seating in library in First Floor.,Library
Room lock is broken in Room 204.,Hostel
Library AC not working in Lab 2.,Library
Oscilloscope not working in Block B.,ECE
Website login problem in Second Floor.,Others
Water leaking from ceiling in Lab 2.,Maintenance
Roof seepage issue in Room 101.,Maintenance
Tube light not working in Lab 2.,Electrical
Fan not working in hostel room in First Floor.,Hostel
Wall has cracks in Second Floor.,Maintenance
Bus pass issue in Lab 1.,Others
Book issue system not working in Room 204.,Library
Water leaking from ceiling in Second Floor.,Maintenance
Hostel room needs cleaning in Block B.,Hostel
Lab equipment is faulty in Room 204.,ECE
Monitor display is blank in Lab 2.,CSE
Tap is leaking in Room 101.,Maintenance
Breadboard is damaged in First Floor.,ECE
Generator backup failed in Block B.,Electrical
Plumbing problem in Admin Block.,Maintenance
Bonafide certificate delayed in Admin Block.,Others
Bathroom is dirty in Admin Block.,Hostel
Staircase is dusty in Block B.,Cleaning
Library AC not working in Block B.,Library
Classroom is very dirty in Room 101.,Cleaning
Bonafide certificate delayed in Lab 2.,Others
Monitor display is blank in Lab 1.,CSE
Required book is unavailable in Second Floor.,Library
Campus area is dirty in Room 204.,Cleaning
Book issue system not working in Lab 1.,Library
Fee payment portal not working in Admin Block.,Others
Breadboard is damaged in Room 204.,ECE
Book return portal not working in Block B.,Library
Oscilloscope not working in Admin Block.,ECE
General enquiry not resolved in Room 101.,Others
Bad smell in corridor in First Floor.,Cleaning
Software installation required in Room 204.,CSE
Floor needs mopping in Room 101.,Cleaning
Staircase is dusty in Block A.,Cleaning
General enquiry not resolved in Admin Block.,Others
Door lock is broken in Block A.,Maintenance
Washroom needs cleaning in Admin Block.,Cleaning
Tap is leaking in Room 204.,Maintenance
Staircase is dusty in Second Floor.,Cleaning
Light is flickering in Admin Block.,Electrical
Fan not working in hostel room in Block A.,Hostel
Loose electrical wiring in Room 101.,Electrical
Book return portal not working in Block B.,Library
Website login problem in Block B.,Others
Plumbing problem in Second Floor.,Maintenance
Campus area is dirty in Room 101.,Cleaning
Tube light not working in Room 204.,Electrical
Reading room is noisy in First Floor.,Library
Digital trainer board failed in Lab 1.,ECE
Broken classroom bench in Second Floor.,Maintenance
Fee payment portal not working in Lab 2.,Others
Bad smell in corridor in Lab 1.,Cleaning
Scholarship not received in Block A.,Others
Roof seepage issue in Block A.,Maintenance
Campus area is dirty in Room 101.,Cleaning
Power socket not working in Room 204.,Electrical
Mouse is not responding in Block B.,CSE
Campus area is dirty in Block A.,Cleaning
Computer not starting in Room 204.,CSE
Insufficient seating in library in Room 101.,Library
Tube light not working in Lab 2.,Electrical
Microcontroller kit not working in Admin Block.,ECE
Power socket not working in Block B.,Electrical
Computer not starting in Second Floor.,CSE
Book issue system not working in Block A.,Library
Library computer not working in Room 101.,Library
Website login problem in Room 204.,Others
Plumbing problem in Block A.,Maintenance
Loose electrical wiring in First Floor.,Electrical
Library internet not working in Lab 2.,Library
ID card not issued in Lab 2.,Others
Bathroom is dirty in Second Floor.,Hostel
Lab equipment is faulty in Admin Block.,ECE
Tap is leaking in Room 204.,Maintenance
Bonafide certificate delayed in Admin Block.,Others
Broken classroom bench in Second Floor.,Maintenance
Loose electrical wiring in Lab 2.,Electrical
Garbage not collected in Block B.,Cleaning
Breadboard is damaged in Block A.,ECE
Fan not working in hostel room in Lab 1.,Hostel
Library AC not working in Block B.,Library
Loose electrical wiring in Second Floor.,Electrical
Software installation required in First Floor.,CSE
Library computer not working in Room 101.,Library
Oscilloscope not working in Room 204.,ECE
Door lock is broken in Second Floor.,Maintenance
Hall ticket not generated in Block A.,Others
Floor needs mopping in Room 101.,Cleaning
Dustbins are overflowing in Admin Block.,Cleaning
Switch board is damaged in First Floor.,Electrical
Bathroom is dirty in Block A.,Hostel
Signal generator issue in Second Floor.,ECE
Power outage in classroom in First Floor.,Electrical
Dustbins are overflowing in First Floor.,Cleaning
Mess food quality is poor in Room 101.,Hostel
Insufficient seating in library in Admin Block.,Library
Wall has cracks in Block B.,Maintenance
Water leaking from ceiling in Room 204.,Maintenance
General enquiry not resolved in Block A.,Others
Switch board is damaged in Lab 2.,Electrical
Drinking water cooler not working in Room 204.,Hostel
Window glass is broken in Admin Block.,Maintenance
Software installation required in Block A.,CSE
Plumbing problem in Lab 2.,Maintenance
Required book is unavailable in Admin Block.,Library
Wall has cracks in Lab 2.,Maintenance
Washroom needs cleaning in Admin Block.,Cleaning
Reading room is noisy in First Floor.,Library
Oscilloscope not working in First Floor.,ECE
Classroom is very dirty in Room 101.,Cleaning
Water leaking from ceiling in First Floor.,Maintenance
Printer not working in Block A.,CSE
Scholarship not received in Lab 2.,Others
Library internet not working in Room 101.,Library
Staircase is dusty in First Floor.,Cleaning
Campus area is dirty in Block A.,Cleaning
Fee payment portal not working in Lab 1.,Others
Computer not starting in Lab 2.,CSE
Insufficient seating in library in Lab 1.,Library
Insufficient seating in library in Lab 2.,Library
Signal generator issue in Second Floor.,ECE
Breadboard is damaged in Second Floor.,ECE
Generator backup failed in Lab 2.,Electrical
Insufficient seating in library in Block B.,Library
Microcontroller kit not working in First Floor.,ECE
Insufficient seating in library in Lab 2.,Library
Signal generator issue in First Floor.,ECE
Signal generator issue in Block A.,ECE
Door lock is broken in Room 101.,Maintenance
Bonafide certificate delayed in Lab 1.,Others
Fan not working in hostel room in Lab 1.,Hostel
ID card not issued in Lab 1.,Others
Door lock is broken in Admin Block.,Maintenance
Dustbins are overflowing in Lab 1.,Cleaning
Printer not working in Lab 1.,CSE
Floor needs mopping in Block A.,Cleaning
Bathroom is dirty in Second Floor.,Hostel
Scholarship not received in Lab 2.,Others
Library AC not working in Room 204.,Library
Fan is not working in Admin Block.,Electrical
Classroom is very dirty in Admin Block.,Cleaning
Washroom needs cleaning in Room 101.,Cleaning
Tube light not working in Room 101.,Electrical
ID card not issued in Lab 1.,Others
Digital trainer board failed in Lab 2.,ECE
Bus pass issue in Room 204.,Others
Monitor display is blank in Lab 2.,CSE
System is running very slow in Room 204.,CSE
Reading room is noisy in Lab 1.,Library
Scholarship not received in First Floor.,Others
Computer not starting in Room 101.,CSE
ID card not issued in Block A.,Others
Power socket not working in Block B.,Electrical
Function generator faulty in Room 204.,ECE
Window glass is broken in First Floor.,Maintenance
Classroom is very dirty in Room 204.,Cleaning
Mess food quality is poor in Lab 2.,Hostel
Fan not working in hostel room in Second Floor.,Hostel
Book return portal not working in Block A.,Library
Keyboard not working in Room 101.,CSE
Printer not working in First Floor.,CSE
Function generator faulty in Admin Block.,ECE
Reading room is noisy in Room 204.,Library
Library computer not working in Lab 1.,Library
Printer not working in Room 101.,CSE
Hall ticket not generated in First Floor.,Others
System is running very slow in Lab 2.,CSE
Computer not starting in Lab 2.,CSE
Campus area is dirty in Block A.,Cleaning
Door lock is broken in Lab 1.,Maintenance
Fan not working in hostel room in Block A.,Hostel
Door lock is broken in Room 204.,Maintenance
Software installation required in First Floor.,CSE
Software installation required in Block A.,CSE
Tube light not working in Room 204.,Electrical
Breadboard is damaged in Admin Block.,ECE
Breadboard is damaged in Block B.,ECE
Light is flickering in Admin Block.,Electrical
Fee payment portal not working in Block B.,Others
Hostel room needs cleaning in Block A.,Hostel
Power socket not working in First Floor.,Electrical
Switch board is damaged in Admin Block.,Electrical
Computer not starting in Block A.,CSE
Website login problem in Lab 1.,Others
Signal generator issue in Second Floor.,ECE
Digital trainer board failed in First Floor.,ECE
Light is flickering in Block A.,Electrical
Floor needs mopping in First Floor.,Cleaning
Library computer not working in Block A.,Library
Classroom is very dirty in Lab 2.,Cleaning
Required book is unavailable in First Floor.,Library
Book issue system not working in Room 101.,Library
General enquiry not resolved in Lab 2.,Others
Fan is not working in Room 101.,Electrical
Library computer not working in Second Floor.,Library
Hostel WiFi not working in Second Floor.,Hostel
Dustbins are overflowing in Room 204.,Cleaning
Scholarship not received in Lab 1.,Others
Washroom needs cleaning in Lab 2.,Cleaning
Wall has cracks in Lab 2.,Maintenance
Light is flickering in Room 101.,Electrical
Hall ticket not generated in Lab 2.,Others
Insufficient seating in library in Lab 1.,Library
Room lock is broken in Room 204.,Hostel
Hall ticket not generated in Room 101.,Others
Fee payment portal not working in Second Floor.,Others
