Complaint,Department
Tap is leaking in First Floor.,Maintenance
The desktop system keeps freezing.,CSE
Hostel room needs cleaning in First Floor.,Hostel
Water is not draining on campus.,Maintenance
Broken classroom bench in Second Floor.,Maintenance
The mess service needs attention in the second floor.,Hostel
Campus area is dirty in Room 204.,Cleaning
The library reading room fan has stopped.,Electrical
Internet not working in lab in Room 101.,CSE
Breadboard is damaged in First Floor.,ECE
Water leaking from ceiling in Lab 1.,Maintenance
socket problem,Electrical
No water supply in hostel in First Floor.,Hostel
Garbage not collected in Block B.,Cleaning
There is a problem issuing a book in the classroom.,Library
There are not enough seats in the library in the classroom.,Library
Washroom is not clean in the second floor.,Cleaning
An application is showing an error near the main building.,CSE
ID card not issued in Room 204.,Others
Software installation required in Block A.,CSE
Mess food quality is poor in Lab 2.,Hostel
Electrical wiring needs attention in Block B.,Electrical
Monitor display is blank in Second Floor.,CSE
Bad smell in corridor in Second Floor.,Cleaning
Power socket not working in Lab 2.,Electrical
Hostel WiFi not working in Second Floor.,Hostel
tap leaking,Maintenance
There is an issue in my hostel room.,Hostel
Tube light flickering in CSE lab,Electrical
Plumbing problem in Second Floor.,Maintenance
water leakage,Maintenance
Computer is not responding in the second floor.,CSE
There is a problem with hostel mess food in Block A.,Hostel
Hostel lift not working,Hostel
software not working,CSE
Book issue system not working in Admin Block.,Library
fan problem,Electrical
Electrical switch is damaged in the second floor.,Electrical
Fan not working in hostel room in Block A.,Hostel
The mess service needs attention in Room 204.,Hostel
Mouse is not responding in Block B.,CSE
Broken classroom bench in Room 101.,Maintenance
Scholarship not received in Admin Block.,Others
Power socket not working in ECE lab,Electrical
Book return portal not working in Room 204.,Library
Garbage not collected in Lab 2.,Cleaning
Door needs repair.,Maintenance
book problem,Library
ece lab problem,ECE
ID card not issued in Admin Block.,Others
I cannot download my hall ticket in the second floor.,Others
Broken classroom bench in First Floor.,Maintenance
Classroom is very dirty in Block B.,Cleaning
Book issue service is not working.,Library
Microcontroller kit is not working in Room 204.,ECE
The door is damaged in Room 204.,Maintenance
Drinking water cooler not working in Lab 2.,Hostel
Dustbins are overflowing in Block B.,Cleaning
cse lab pc down,CSE
Hostel bed needs repair in the classroom.,Hostel
Computer network connection is down in the classroom.,CSE
Signal generator is not working in Room 204.,ECE
library card problem,Library
Garbage not collected in Block A.,Cleaning
Mouse is not responding in First Floor.,CSE
room dirty,Cleaning
Fan is not working in Second Floor.,Electrical
General enquiry not resolved in Block B.,Others
Tube light is not working in Block A.,Electrical
The hostel room fan is not rotating.,Electrical
Waste needs to be removed in Block B.,Cleaning
A wiring problem was noticed on campus.,Electrical
Arduino board not detected in First Floor.,ECE
Power supply is interrupted.,Electrical
The hostel internet connection is down in Block B.,Hostel
Wall outlet is damaged in the first floor.,Electrical
Staircase is dusty in Second Floor.,Cleaning
library wifi problem,Library
Wardrobe lock broken in hostel room,Hostel
computer slow,CSE
Function generator has a problem in the first floor.,ECE
computer problem,CSE
Garbage not collected in Room 101.,Cleaning
Hostel room needs cleaning in Block B.,Hostel
Ceiling light is not turning on near the main building.,Electrical
Digital trainer board failed in Admin Block.,ECE
The window needs repair.,Maintenance
Keyboard not working in Lab 2.,CSE
Wall has cracks in Block A.,Maintenance
system problem,CSE
Book return portal not working in Second Floor.,Library
Book return portal not working in Lab 1.,Library
Bonafide certificate delayed in Second Floor.,Others
Fan is not working in Room 101.,Electrical
Software installation is required in the first floor.,CSE
Lab equipment is faulty in First Floor.,ECE
There is a problem with my hall ticket in the first floor.,Others
Hall ticket not generated in Room 204.,Others
Bathroom is dirty in Lab 1.,Hostel
Library internet not working in Admin Block.,Library
repair problem,Maintenance
The room needs cleaning in the lab.,Cleaning
Lab equipment is faulty in Lab 1.,ECE
Oscilloscope not working in Room 101.,ECE
Bus pass issue in Lab 2.,Others
Window glass is broken in Second Floor.,Maintenance
application problem,Others
Broken chair in seminar hall,Maintenance
I have an issue with my college id card in the lab.,Others
The system cannot connect to the network in Room 101.,CSE
Bench is broken.,Maintenance
Arduino kit is not working in Room 101.,ECE
class fan problem,Electrical
Switch board is damaged in Block B.,Electrical
There is a problem with my bus pass.,Others
Power socket not working in Room 101.,Electrical
